ArrayExpress_Species	ArrayExpress_StrainOrLine	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	anonymized_name	collection_date	geographic_location_country_and_or_sea	host_health_state	isolation_source	serovar	specific_host	strain	supplier_name	Consent	LibrarySource
		WGS		199	PRJNA248792	SAMN07566694	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3139006	0	Illumina HiSeq 2500	PAIRED	RANDOM	387213	2017-08-28	229	100	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5983002	SRS2471918	SRP042645	387213.biosample		Jun-2017			human	Salmonella Typhi		387213		public	GENOMIC
		WGS		195	PRJNA248792	SAMN07566712	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3139013	0	Illumina HiSeq 2500	PAIRED	RANDOM	313878	2017-08-28	348	168	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5983009	SRS2471925	SRP042645	313878.biosample		2016-10			human	Salmonella Typhi		313878		public	GENOMIC
		WGS		196	PRJNA248792	SAMN07566711	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3139014	0	Illumina HiSeq 2500	PAIRED	RANDOM	345581	2017-08-28	516	241	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-29	SRR5983010	SRS2471926	SRP042645	345581.biosample		Feb-2017			human	Salmonella Typhi		345581		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569782	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142212	0	Illumina HiSeq 2500	PAIRED	RANDOM	236191	2017-08-29	263	126	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986333	SRS2474978	SRP042645	236191.biosample		Mar-2016			human	Salmonella Typhi		236191		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569780	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142213	0	Illumina HiSeq 2500	PAIRED	RANDOM	221700	2017-08-29	279	135	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986334	SRS2474979	SRP042645	221700.biosample		Feb-2016			human	Salmonella Typhi		221700		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569781	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142214	0	Illumina HiSeq 2500	PAIRED	RANDOM	161932	2017-08-29	278	119	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986335	SRS2474980	SRP042645	161932.biosample		Sep-2015			human	Salmonella Typhi		161932		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569779	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142215	0	Illumina HiSeq 2500	PAIRED	RANDOM	117610	2017-08-29	238	105	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986336	SRS2474981	SRP042645	117610.biosample		May-2015			human	Salmonella Typhi		117610		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569783	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142234	0	Illumina HiSeq 2500	PAIRED	RANDOM	214579	2017-08-29	384	174	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986355	SRS2474983	SRP042645	214579.biosample		Feb-2016			human	Salmonella Typhi		214579		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569784	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142235	0	Illumina HiSeq 2500	PAIRED	RANDOM	214714	2017-08-29	253	123	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986356	SRS2474984	SRP042645	214714.biosample		Feb-2016			human	Salmonella Typhi		214714		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569788	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142368	0	Illumina HiSeq 2500	PAIRED	RANDOM	224130	2017-08-29	356	173	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986489	SRS2474986	SRP042645	224130.biosample		Feb-2016			human	Salmonella Typhi		224130		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569786	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142375	0	Illumina HiSeq 2500	PAIRED	RANDOM	142487	2017-08-29	295	139	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986496	SRS2474995	SRP042645	142487.biosample		Jul-2015			human	Salmonella Typhi		142487		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569785	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142414	0	Illumina HiSeq 2500	PAIRED	RANDOM	203377	2017-08-29	307	140	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986535	SRS2475032	SRP042645	203377.biosample		Jan-2016			human	Salmonella Typhi		203377		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569787	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142415	0	Illumina HiSeq 2500	PAIRED	RANDOM	208724	2017-08-29	324	140	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986536	SRS2475033	SRP042645	208724.biosample		Jan-2016			human	Salmonella Typhi		208724		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569789	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142416	0	Illumina HiSeq 2500	PAIRED	RANDOM	101438	2017-08-29	405	177	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986537	SRS2475034	SRP042645	101438.biosample		Apr-2015			human	Salmonella Typhi		101438		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569790	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142417	0	Illumina HiSeq 2500	PAIRED	RANDOM	218472	2017-08-29	233	108	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986538	SRS2475035	SRP042645	218472.biosample		Feb-2016			human	Salmonella Typhi		218472		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569792	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142418	0	Illumina HiSeq 2500	PAIRED	RANDOM	200634	2017-08-29	496	211	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986539	SRS2475036	SRP042645	200634.biosample		2015-12			human	Salmonella Typhi		200634		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569794	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142419	0	Illumina HiSeq 2500	PAIRED	RANDOM	203379	2017-08-29	349	160	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986540	SRS2475037	SRP042645	203379.biosample		Jan-2016			human	Salmonella Typhi		203379		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569791	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142420	0	Illumina HiSeq 2500	PAIRED	RANDOM	101437	2017-08-29	385	169	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986541	SRS2475038	SRP042645	101437.biosample		Apr-2015			human	Salmonella Typhi		101437		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569793	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142421	0	Illumina HiSeq 2500	PAIRED	RANDOM	240164	2017-08-29	424	192	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986542	SRS2475039	SRP042645	240164.biosample		Mar-2016			human	Salmonella Typhi		240164		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569795	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142422	0	Illumina HiSeq 2500	PAIRED	RANDOM	247245	2017-08-29	338	157	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986543	SRS2475040	SRP042645	247245.biosample		Apr-2016			human	Salmonella Typhi		247245		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07569796	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3142423	0	Illumina HiSeq 2500	PAIRED	RANDOM	207584	2017-08-29	600	279	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5986544	SRS2475041	SRP042645	207584.biosample		Jan-2016			human	Salmonella Typhi		207584		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572157	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3144988	0	Illumina HiSeq 2500	PAIRED	RANDOM	206713	2017-08-29	279	124	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989249	SRS2477261	SRP042645	206713.biosample		Jan-2016			human	Salmonella Typhi		206713		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572180	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3144992	0	Illumina HiSeq 2500	PAIRED	RANDOM	238765	2017-08-29	210	98	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989253	SRS2477265	SRP042645	238765.biosample		Mar-2016			human	Salmonella Typhi		238765		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572175	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145028	0	Illumina HiSeq 2500	PAIRED	RANDOM	221701	2017-08-29	321	154	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989289	SRS2477301	SRP042645	221701.biosample		Feb-2016			human	Salmonella Typhi		221701		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572176	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145029	0	Illumina HiSeq 2500	PAIRED	RANDOM	122643	2017-08-29	232	113	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989290	SRS2477302	SRP042645	122643.biosample		Jun-2015			human	Salmonella Typhi		122643		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572173	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145031	0	Illumina HiSeq 2500	PAIRED	RANDOM	220459	2017-08-29	252	118	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989292	SRS2477304	SRP042645	220459.biosample		Feb-2016			human	Salmonella Typhi		220459		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572170	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145032	0	Illumina HiSeq 2500	PAIRED	RANDOM	222161	2017-08-29	267	131	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989293	SRS2477305	SRP042645	222161.biosample		Feb-2016			human	Salmonella Typhi		222161		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572171	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145033	0	Illumina HiSeq 2500	PAIRED	RANDOM	101482	2017-08-29	425	186	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989294	SRS2477306	SRP042645	101482.biosample		Apr-2015			human	Salmonella Typhi		101482		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572174	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145036	0	Illumina HiSeq 2500	PAIRED	RANDOM	247247	2017-08-29	327	150	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989297	SRS2477309	SRP042645	247247.biosample		Apr-2016			human	Salmonella Typhi		247247		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572172	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145037	0	Illumina HiSeq 2500	PAIRED	RANDOM	119469	2017-08-29	414	192	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989298	SRS2477310	SRP042645	119469.biosample		Jun-2015			human	Salmonella Typhi		119469		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572192	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145039	0	Illumina HiSeq 2500	PAIRED	RANDOM	208725	2017-08-29	326	144	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989300	SRS2477312	SRP042645	208725.biosample		Jan-2016			human	Salmonella Typhi		208725		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572190	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145041	0	Illumina HiSeq 2500	PAIRED	RANDOM	203378	2017-08-29	287	133	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989302	SRS2477314	SRP042645	203378.biosample		Jan-2016			human	Salmonella Typhi		203378		public	GENOMIC
		WGS		191	PRJNA248792	SAMN07572191	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145042	0	Illumina HiSeq 2500	PAIRED	RANDOM	351267	2017-08-29	197	85	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989303	SRS2477315	SRP042645	351267.biosample		Jan-2016			human	Salmonella Typhi		351267		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572199	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145044	0	Illumina HiSeq 2500	PAIRED	RANDOM	209994	2017-08-29	294	134	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989305	SRS2477317	SRP042645	209994.biosample		Jan-2016			human	Salmonella Typhi		209994		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572198	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145045	0	Illumina HiSeq 2500	PAIRED	RANDOM	212757	2017-08-29	277	121	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989306	SRS2477318	SRP042645	212757.biosample		Jan-2016			human	Salmonella Typhi		212757		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572200	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145046	0	Illumina HiSeq 2500	PAIRED	RANDOM	208761	2017-08-29	264	116	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989307	SRS2477319	SRP042645	208761.biosample		Jan-2016			human	Salmonella Typhi		208761		public	GENOMIC
		WGS		194	PRJNA248792	SAMN07572208	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145049	0	Illumina HiSeq 2500	PAIRED	RANDOM	345426	2017-08-29	366	170	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989310	SRS2477322	SRP042645	345426.biosample		Sep-2015			human	Salmonella Typhi		345426		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572197	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145052	0	Illumina HiSeq 2500	PAIRED	RANDOM	220513	2017-08-29	320	149	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989313	SRS2477325	SRP042645	220513.biosample		Feb-2016			human	Salmonella Typhi		220513		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572214	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145058	0	Illumina HiSeq 2500	PAIRED	RANDOM	155743	2017-08-29	382	184	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989319	SRS2477331	SRP042645	155743.biosample		Sep-2015			human	Salmonella Typhi		155743		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572215	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145059	0	Illumina HiSeq 2500	PAIRED	RANDOM	229164	2017-08-29	415	196	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989320	SRS2477332	SRP042645	229164.biosample		Mar-2016			human	Salmonella Typhi		229164		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572211	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145061	0	Illumina HiSeq 2500	PAIRED	RANDOM	101481	2017-08-29	407	179	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989322	SRS2477335	SRP042645	101481.biosample		Apr-2015			human	Salmonella Typhi		101481		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572213	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145062	0	Illumina HiSeq 2500	PAIRED	RANDOM	211143	2017-08-29	389	175	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989323	SRS2477334	SRP042645	211143.biosample		Jan-2016			human	Salmonella Typhi		211143		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572212	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145063	0	Illumina HiSeq 2500	PAIRED	RANDOM	212761	2017-08-29	468	210	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-30	SRR5989324	SRS2477336	SRP042645	212761.biosample		Jan-2016			human	Salmonella Typhi		212761		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572661	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145726	0	Illumina HiSeq 2500	PAIRED	RANDOM	216315	2017-08-30	249	117	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990001	SRS2477706	SRP042645	216315.biosample		Feb-2016			human	Salmonella Typhi		216315		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572662	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145728	0	Illumina HiSeq 2500	PAIRED	RANDOM	122692	2017-08-30	479	233	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990003	SRS2477707	SRP042645	122692.biosample		Jun-2015			human	Salmonella Typhi		122692		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572664	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145729	0	Illumina HiSeq 2500	PAIRED	RANDOM	161902	2017-08-30	273	118	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990004	SRS2477709	SRP042645	161902.biosample		Sep-2015			human	Salmonella Typhi		161902		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572667	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145730	0	Illumina HiSeq 2500	PAIRED	RANDOM	245587	2017-08-30	624	294	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990007	SRS2477710	SRP042645	245587.biosample		Apr-2016			human	Salmonella Typhi		245587		public	GENOMIC
		WGA		555	PRJDB5169	SAMD00061218	NIID	minhash_sigrealignref_statssrawgmlst_sig	ncbi			DRX064929	500	Illumina MiSeq	PAIRED	size fractionation		2018-01-26	374	219	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	2018-01-26	DRR070979	DRS057913	DRP004007	SAMD00061218		2001				Typhi		010032TY		public	GENOMIC
		WGA		557	PRJDB5169	SAMD00061219	NIID	minhash_sigrealignref_statssrawgmlst_sig	ncbi			DRX064930	500	Illumina MiSeq	PAIRED	size fractionation		2018-01-26	243	144	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	2018-01-26	DRR070980	DRS057914	DRP004007	SAMD00061219		2001				Typhi		010038TY		public	GENOMIC
		WGA		555	PRJDB5169	SAMD00061220	NIID	minhash_sigrealignref_statssrawgmlst_sig	ncbi			DRX064931	500	Illumina MiSeq	PAIRED	size fractionation		2018-01-26	496	295	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	2018-01-26	DRR070981	DRS057915	DRP004007	SAMD00061220		2001				Typhi		010042TY		public	GENOMIC
		WGA		560	PRJDB5169	SAMD00061221	NIID	minhash_sigrealignref_statssrawgmlst_sig	ncbi			DRX064932	500	Illumina MiSeq	PAIRED	size fractionation		2018-01-26	504	294	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	2018-01-26	DRR070982	DRS057916	DRP004007	SAMD00061221		2001				Typhi		010067TY		public	GENOMIC
		WGA		560	PRJDB5169	SAMD00061222	NIID	minhash_sigrealignref_statssrawgmlst_sig	ncbi			DRX064933	500	Illumina MiSeq	PAIRED	size fractionation		2018-01-26	583	346	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	2018-01-26	DRR070983	DRS057917	DRP004007	SAMD00061222		2001				Typhi		010068TY		public	GENOMIC
		WGA		561	PRJDB5169	SAMD00061223	NIID	minhash_sigrealignref_statssrawgmlst_sig	ncbi			DRX064934	500	Illumina MiSeq	PAIRED	size fractionation		2018-01-26	320	188	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	2018-01-26	DRR070984	DRS057918	DRP004007	SAMD00061223		2001				Typhi		010099TY		public	GENOMIC
		WGA		556	PRJDB5169	SAMD00061224	NIID	minhash_sigrealignref_statssrawgmlst_sig	ncbi			DRX064935	500	Illumina MiSeq	PAIRED	size fractionation		2018-01-26	360	210	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	2018-01-26	DRR070985	DRS057919	DRP004007	SAMD00061224		2002				Typhi		020003TY		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572663	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145733	0	Illumina HiSeq 2500	PAIRED	RANDOM	247223	2017-08-30	357	164	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990010	SRS2477713	SRP042645	247223.biosample		Apr-2016			human	Salmonella Typhi		247223		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572676	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145736	0	Illumina HiSeq 2500	PAIRED	RANDOM	216339	2017-08-30	267	124	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990020	SRS2477716	SRP042645	216339.biosample		Feb-2016			human	Salmonella Typhi		216339		public	GENOMIC
		WGS		196	PRJNA248792	SAMN07572682	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145742	0	Illumina HiSeq 2500	PAIRED	RANDOM	345424	2017-08-30	369	168	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990026	SRS2477722	SRP042645	345424.biosample		May-2015			human	Salmonella Typhi		345424		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572689	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145746	0	Illumina HiSeq 2500	PAIRED	RANDOM	214578	2017-08-30	468	212	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990029	SRS2477725	SRP042645	214578.biosample		Feb-2016			human	Salmonella Typhi		214578		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572701	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145749	0	Illumina HiSeq 2500	PAIRED	RANDOM	216994	2017-08-30	255	122	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990033	SRS2477729	SRP042645	216994.biosample		Feb-2016			human	Salmonella Typhi		216994		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572713	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145752	0	Illumina HiSeq 2500	PAIRED	RANDOM	146180	2017-08-30	270	121	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990036	SRS2477731	SRP042645	146180.biosample		Aug-2015			human	Salmonella Typhi		146180		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572707	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145754	0	Illumina HiSeq 2500	PAIRED	RANDOM	205588	2017-08-30	585	262	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990038	SRS2477733	SRP042645	205588.biosample		Jan-2016			human	Salmonella Typhi		205588		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572719	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145755	0	Illumina HiSeq 2500	PAIRED	RANDOM	113504	2017-08-30	403	185	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990039	SRS2477734	SRP042645	113504.biosample		May-2015			human	Salmonella Typhi		113504		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572733	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145760	0	Illumina HiSeq 2500	PAIRED	RANDOM	155733	2017-08-30	312	151	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990044	SRS2477739	SRP042645	155733.biosample		Sep-2015			human	Salmonella Typhi		155733		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572758	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3145768	0	Illumina HiSeq 2500	PAIRED	RANDOM	211756	2017-08-30	444	187	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990056	SRS2477747	SRP042645	211756.biosample		Jan-2016			human	Salmonella Typhi		211756		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07572937	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3146004	0	Illumina HiSeq 2500	PAIRED	RANDOM	119426	2017-08-30	462	209	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990292	SRS2477968	SRP042645	119426.biosample		Jun-2015			human	Salmonella Typhi		119426		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07573080	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3146049	0	Illumina HiSeq 2500	PAIRED	RANDOM	238381	2017-08-30	345	153	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990341	SRS2478012	SRP042645	238381.biosample		Mar-2016			human	Salmonella Typhi		238381		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07573082	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3146050	0	Illumina HiSeq 2500	PAIRED	RANDOM	238380	2017-08-30	389	175	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990342	SRS2478013	SRP042645	238380.biosample		Mar-2016			human	Salmonella Typhi		238380		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07573081	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3146051	0	Illumina HiSeq 2500	PAIRED	RANDOM	123842	2017-08-30	248	103	Salmonella enterica subsp. enterica	ILLUMINA	2017-08-31	SRR5990343	SRS2478014	SRP042645	123842.biosample		Jun-2015			human	Salmonella Typhi		123842		public	GENOMIC
		WGS		200	PRJNA248792	SAMN07795416	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3291903	0	Illumina HiSeq 2500	PAIRED	RANDOM	423183	2017-10-17	248	118	Salmonella enterica subsp. enterica	ILLUMINA	2017-10-18	SRR6181295	SRS2601091	SRP042645	423183.biosample		Sep-2017			human	Salmonella Typhi		423183		public	GENOMIC
		WGS		193	PRJNA248792	SAMN08797892	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX3849689	0	Illumina HiSeq 2500	PAIRED	RANDOM	401773	2018-03-26	207	88	Salmonella enterica subsp. enterica	ILLUMINA	2018-03-27	SRR6900725	SRS3094189	SRP042645	401773.biosample		Aug-2017			human	Salmonella typhi		401773		public	GENOMIC
		WGS		197	PRJNA248792	SAMN03152379	GBRU	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX747380	0	Illumina HiSeq 2500	PAIRED	RANDOM	H121700493	2014-10-30	237	103	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	2014-11-05	SRR1635079	SRS733747	SRP042645	H121700493.biosample		2012-04			Human	Salmonella Typhi		H121700493		public	GENOMIC
