Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collected_by	collection_date	geo_loc_name	host	host_disease	isolate_name_alias	isolation_source	lat_lon	potential_contaminant	sequence_type	serovar	strain	sub_species	Consent	LibrarySource
WGS		200	PRJNA248792	SAMN04590312	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669897	0	Illumina HiSeq 2500	PAIRED	RANDOM	143546	2016-03-30	258	122	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312300	SRS1367694	SRP042645	143546.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	143546	Human	Missing	None detected	11	Salmonella Enteritidis	143546	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590316	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669901	0	Illumina HiSeq 2500	PAIRED	RANDOM	163124	2016-03-30	391	173	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312337	SRS1367695	SRP042645	163124.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	163124	Human	Missing	None detected	11	Salmonella Enteritidis	163124	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590324	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669909	0	Illumina HiSeq 2500	PAIRED	RANDOM	107320	2016-03-30	158	73	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312348	SRS1367696	SRP042645	107320.biosample	PHE	Apr-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	107320	Human	Missing	None detected	11	Salmonella Enteritidis	107320	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590323	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669908	0	Illumina HiSeq 2500	PAIRED	RANDOM	152400	2016-03-30	277	128	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312345	SRS1367697	SRP042645	152400.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	152400	Human	Missing	None detected	11	Salmonella Enteritidis	152400	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590322	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669907	0	Illumina HiSeq 2500	PAIRED	RANDOM	159682	2016-03-30	276	126	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312344	SRS1367698	SRP042645	159682.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	159682	Human	Missing	None detected	11	Salmonella Enteritidis	159682	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590344	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669939	0	Illumina HiSeq 2500	PAIRED	RANDOM	107108	2016-03-30	336	156	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312551	SRS1367700	SRP042645	107108.biosample	PHE	Apr-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	107108	Human	Missing	None detected	11	Salmonella Enteritidis	107108	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590342	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669937	0	Illumina HiSeq 2500	PAIRED	RANDOM	113051	2016-03-30	201	93	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312549	SRS1367701	SRP042645	113051.biosample	PHE	May-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	113051	Human	Missing	None detected	11	Salmonella Enteritidis	113051	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590343	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669938	0	Illumina HiSeq 2500	PAIRED	RANDOM	166331	2016-03-30	433	188	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312550	SRS1367702	SRP042645	166331.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	166331	Human	Missing	None detected	11	Salmonella Enteritidis	166331	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590341	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669936	0	Illumina HiSeq 2500	PAIRED	RANDOM	164712	2016-03-30	331	149	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312548	SRS1367703	SRP042645	164712.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	164712	Human	Missing	None detected	11	Salmonella Enteritidis	164712	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590336	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669931	0	Illumina HiSeq 2500	PAIRED	RANDOM	159649	2016-03-30	345	158	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312533	SRS1367704	SRP042645	159649.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	159649	Human	Missing	None detected	11	Salmonella Enteritidis	159649	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04590335	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1669930	0	Illumina HiSeq 2500	PAIRED	RANDOM	161077	2016-03-30	416	190	Salmonella enterica subsp. enterica	ILLUMINA	2016-03-31	SRR3312531	SRS1367705	SRP042645	161077.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	161077	Human	Missing	None detected	11	Salmonella Enteritidis	161077	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599357	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672542	0	Illumina HiSeq 2500	PAIRED	RANDOM	155705	2016-04-01	363	175	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319056	SRS1369490	SRP042645	155705.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	155705	Human	Missing	None detected	11	Salmonella Enteritidis	155705	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599356	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672541	0	Illumina HiSeq 2500	PAIRED	RANDOM	155649	2016-04-01	189	84	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319055	SRS1369491	SRP042645	155649.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	155649	Human	Missing	None detected	11	Salmonella Enteritidis	155649	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599373	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672555	0	Illumina HiSeq 2500	PAIRED	RANDOM	149234	2016-04-01	259	113	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319068	SRS1369493	SRP042645	149234.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	149234	Human	Missing	None detected	11	Salmonella Enteritidis	149234	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599372	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672554	0	Illumina HiSeq 2500	PAIRED	RANDOM	137144	2016-04-01	296	128	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319067	SRS1369494	SRP042645	137144.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	137144	Human	Missing	None detected	11	Salmonella Enteritidis	137144	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599371	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672553	0	Illumina HiSeq 2500	PAIRED	RANDOM	109929	2016-04-01	338	162	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319066	SRS1369495	SRP042645	109929.biosample	PHE	May-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	109929	Human	Missing	None detected	11	Salmonella Enteritidis	109929	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599377	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672556	0	Illumina HiSeq 2500	PAIRED	RANDOM	113500	2016-04-01	441	202	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319069	SRS1369496	SRP042645	113500.biosample	PHE	May-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	113500	Human	Missing	None detected	11	Salmonella Enteritidis	113500	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599359	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672544	0	Illumina HiSeq 2500	PAIRED	RANDOM	164954	2016-04-01	320	146	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319058	SRS1369502	SRP042645	164954.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	164954	Human	Missing	None detected	11	Salmonella Enteritidis	164954	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599358	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672543	0	Illumina HiSeq 2500	PAIRED	RANDOM	135161	2016-04-01	411	188	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319057	SRS1369503	SRP042645	135161.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	135161	Human	Missing	None detected	11	Salmonella Enteritidis	135161	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599370	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672552	0	Illumina HiSeq 2500	PAIRED	RANDOM	174697	2016-04-01	360	162	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319065	SRS1369505	SRP042645	174697.biosample	PHE	2015-10	United Kingdom: United Kingdom	Homo sapiens	Not available	174697	Human	Missing	None detected	11	Salmonella Enteritidis	174697	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599367	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672549	0	Illumina HiSeq 2500	PAIRED	RANDOM	155656	2016-04-01	321	144	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319062	SRS1369508	SRP042645	155656.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	155656	Human	Missing	None detected	11	Salmonella Enteritidis	155656	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599366	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672548	0	Illumina HiSeq 2500	PAIRED	RANDOM	155653	2016-04-01	329	147	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319061	SRS1369509	SRP042645	155653.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	155653	Human	Missing	None detected	11	Salmonella Enteritidis	155653	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599365	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672547	0	Illumina HiSeq 2500	PAIRED	RANDOM	155650	2016-04-01	235	105	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319060	SRS1369510	SRP042645	155650.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	155650	Human	Missing	None detected	11	Salmonella Enteritidis	155650	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599364	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672546	0	Illumina HiSeq 2500	PAIRED	RANDOM	155659	2016-04-01	277	126	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319059	SRS1369511	SRP042645	155659.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	155659	Human	Missing	None detected	11	Salmonella Enteritidis	155659	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599380	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672559	0	Illumina HiSeq 2500	PAIRED	RANDOM	154871	2016-04-01	463	223	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319072	SRS1369514	SRP042645	154871.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	154871	Human	Missing	None detected	11	Salmonella Enteritidis	154871	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04599379	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1672558	0	Illumina HiSeq 2500	PAIRED	RANDOM	154875	2016-04-01	411	196	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3319071	SRS1369515	SRP042645	154875.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	154875	Human	Missing	None detected	11	Salmonella Enteritidis	154875	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600136	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674271	0	Illumina HiSeq 2500	PAIRED	RANDOM	202278	2016-04-01	387	175	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321520	SRS1371128	SRP042645	202278.biosample	PHE	Jan-2016	United Kingdom: United Kingdom	Homo sapiens	Not available	202278	Human	Missing	Proteus mirabilis BB2000 uid214430	11	Salmonella Enteritidis	202278	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600139	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674274	0	Illumina HiSeq 2500	PAIRED	RANDOM	179659	2016-04-01	364	169	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321523	SRS1371143	SRP042645	179659.biosample	PHE	2015-10	United Kingdom: United Kingdom	Homo sapiens	Not available	179659	Human	Missing	Morganella morganii subsp. morganii KT	11	Salmonella Enteritidis	179659	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600158	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674307	0	Illumina HiSeq 2500	PAIRED	RANDOM	174749	2016-04-01	323	145	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321625	SRS1371158	SRP042645	174749.biosample	PHE	2015-10	United Kingdom: United Kingdom	Homo sapiens	Not available	174749	Human	Missing	Morganella morganii subsp. morganii KT	11	Salmonella Enteritidis	174749	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600225	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674397	0	Illumina HiSeq 2500	PAIRED	RANDOM	140221	2016-04-01	313	148	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321814	SRS1371240	SRP042645	140221.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	140221	Human	Missing	None detected	11	Salmonella Enteritidis	140221	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600235	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674419	0	Illumina HiSeq 2500	PAIRED	RANDOM	133215	2016-04-01	409	192	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321836	SRS1371268	SRP042645	133215.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	133215	Human	Missing	None detected	11	Salmonella Enteritidis	133215	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600273	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674460	0	Illumina HiSeq 2500	PAIRED	RANDOM	106544	2016-04-01	350	166	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321873	SRS1371303	SRP042645	106544.biosample	PHE	Apr-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	106544	Human	Missing	None detected	Novel	Salmonella Enteritidis	106544	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600278	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674465	0	Illumina HiSeq 2500	PAIRED	RANDOM	136547	2016-04-01	297	138	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321878	SRS1371310	SRP042645	136547.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	136547	Human	Missing	None detected	Novel	Salmonella Enteritidis	136547	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600298	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674477	0	Illumina HiSeq 2500	PAIRED	RANDOM	131525	2016-04-01	282	124	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321885	SRS1371328	SRP042645	131525.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	131525	Human	Missing	None detected	183	Salmonella Enteritidis	131525	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600318	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674499	0	Illumina HiSeq 2500	PAIRED	RANDOM	126088	2016-04-01	564	268	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321904	SRS1371333	SRP042645	126088.biosample	PHE	Jun-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	126088	Human	Missing	None detected	11	Salmonella Enteritidis	126088	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600342	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674527	0	Illumina HiSeq 2500	PAIRED	RANDOM	135067	2016-04-01	303	139	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322002	SRS1371363	SRP042645	135067.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	135067	Human	Missing	None detected	183	Salmonella Enteritidis	135067	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600344	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674536	0	Illumina HiSeq 2500	PAIRED	RANDOM	126843	2016-04-01	537	246	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322011	SRS1371367	SRP042645	126843.biosample	PHE	Jun-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	126843	Human	Missing	Proteus mirabilis C05028	11	Salmonella Enteritidis	126843	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600347	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674539	0	Illumina HiSeq 2500	PAIRED	RANDOM	134020	2016-04-01	372	178	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322014	SRS1371375	SRP042645	134020.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	134020	Human	Missing	Campylobacter jejuni NCTC 11168 BN148 uid174152	11	Salmonella Enteritidis	134020	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600363	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674555	0	Illumina HiSeq 2500	PAIRED	RANDOM	140585	2016-04-01	326	148	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322032	SRS1371389	SRP042645	140585.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	140585	Human	Missing	None detected	11	Salmonella Enteritidis	140585	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600276	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674463	0	Illumina HiSeq 2500	PAIRED	RANDOM	118881	2016-04-01	362	155	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3321876	SRS1371395	SRP042645	118881.biosample	PHE	May-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	118881	Human	Missing	None detected	11	Salmonella Enteritidis	118881	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600427	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674621	0	Illumina HiSeq 2500	PAIRED	RANDOM	182004	2016-04-01	350	168	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322107	SRS1371443	SRP042645	182004.biosample	PHE	2015-10	United Kingdom: United Kingdom	Homo sapiens	Not available	182004	Human	Missing	None detected	11	Salmonella Enteritidis	182004	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600391	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674580	0	Illumina HiSeq 2500	PAIRED	RANDOM	176343	2016-04-01	488	219	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322070	SRS1371475	SRP042645	176343.biosample	PHE	2015-10	United Kingdom: United Kingdom	Homo sapiens	Not available	176343	Human	Missing	Morganella morganii subsp. morganii KT	11	Salmonella Enteritidis	176343	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600399	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674589	0	Illumina HiSeq 2500	PAIRED	RANDOM	157247	2016-04-01	381	178	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322078	SRS1371486	SRP042645	157247.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	157247	Human	Missing	None detected	183	Salmonella Enteritidis	157247	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600560	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674674	0	Illumina HiSeq 2500	PAIRED	RANDOM	189242	2016-04-01	243	98	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322162	SRS1371487	SRP042645	189242.biosample	PHE	2015-11	United Kingdom: United Kingdom	Homo sapiens	Not available	189242	Human	Missing	None detected	11	Salmonella Enteritidis	189242	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600559	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674673	0	Illumina HiSeq 2500	PAIRED	RANDOM	166319	2016-04-01	443	192	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322161	SRS1371488	SRP042645	166319.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	166319	Human	Missing	None detected	11	Salmonella Enteritidis	166319	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600569	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674711	0	Illumina HiSeq 2500	PAIRED	RANDOM	109887	2016-04-01	275	131	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322199	SRS1371507	SRP042645	109887.biosample	PHE	May-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	109887	Human	Missing	None detected	11	Salmonella Enteritidis	109887	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600590	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674774	0	Illumina HiSeq 2500	PAIRED	RANDOM	140214	2016-04-01	390	184	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322263	SRS1371593	SRP042645	140214.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	140214	Human	Missing	Escherichia hermannii NBRC 105704	Novel	Salmonella Enteritidis	140214	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600465	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674647	0	Illumina HiSeq 2500	PAIRED	RANDOM	149326	2016-04-01	307	139	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322134	SRS1371636	SRP042645	149326.biosample	PHE	Aug-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	149326	Human	Missing	None detected	814	Salmonella Enteritidis	149326	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600551	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674665	0	Illumina HiSeq 2500	PAIRED	RANDOM	203967	2016-04-01	242	104	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322153	SRS1371669	SRP042645	203967.biosample	PHE	Jan-2016	United Kingdom: United Kingdom	Homo sapiens	Not available	203967	Human	Missing	None detected	Novel	Salmonella Enteritidis	203967	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600670	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674881	0	Illumina HiSeq 2500	PAIRED	RANDOM	127426	2016-04-01	409	183	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322375	SRS1371713	SRP042645	127426.biosample	PHE	Jun-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	127426	Human	Missing	None detected	11	Salmonella Enteritidis	127426	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600676	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674887	0	Illumina HiSeq 2500	PAIRED	RANDOM	164957	2016-04-01	352	160	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322381	SRS1371717	SRP042645	164957.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	164957	Human	Missing	None detected	11	Salmonella Enteritidis	164957	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600687	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674899	0	Illumina HiSeq 2500	PAIRED	RANDOM	137149	2016-04-01	269	116	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322393	SRS1371731	SRP042645	137149.biosample	PHE	Jul-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	137149	Human	Missing	None detected	11	Salmonella Enteritidis	137149	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600725	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674929	0	Illumina HiSeq 2500	PAIRED	RANDOM	128156	2016-04-01	308	146	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322421	SRS1371753	SRP042645	128156.biosample	PHE	Jun-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	128156	Human	Missing	None detected	11	Salmonella Enteritidis	128156	enterica	public	GENOMIC
WGS		200	PRJNA248792	SAMN04600723	Pathogen.cl	PHE	minhash_sigrealignref_statssrawgmlst_sig	ncbi			SRX1674926	0	Illumina HiSeq 2500	PAIRED	RANDOM	160820	2016-04-01	145	60	Salmonella enterica subsp. enterica	ILLUMINA	2016-04-02	SRR3322419	SRS1371756	SRP042645	160820.biosample	PHE	Sep-2015	United Kingdom: United Kingdom	Homo sapiens	Not available	160820	Human	Missing	None detected	11	Salmonella Enteritidis	160820	enterica	public	GENOMIC
